News Websites,Region,Outlet Name,IP Address,Location,Registration Date
naijapulse.org,African,Naija Pulse/Naijapulse,76.76.21.21,France,9th June 2025
axumvoices.org,African,Axum Voices,76.76.21.21,France,9th June 2025
voixgabonaises.info,African,Voix gabonaises,76.76.21.21,France,9th June 2025
rainbow-report.com,African,Rainbow Report,76.76.21.21,France,9th June 2025 
jambojournal.org,African,Jambo Journal,76.76.21.21,France,9th June 2025
ghanatomorrow.com,African,Ghana tomorrow,216.150.1.1,France,21st July 2025
intwarinews.com,African,Intwari News,76.76.21.21,France,19th June 2025
voixducameroun.com,African,Voix du Cameroun,216.150.1.1,France,21st July 2025
voixdabidjan.com,African,Voix d'Abidjan,76.76.21.21,France,14th June 2025
gaboronenow.com,African,Gaborone Now,216.150.1.1,France,21st July 2025
sunugalenclair.org,African,Sunugal en clair,76.76.21.21,France,9th June 2025
tanzania-24.com,African,Tanzania 24,76.76.21.21,France,18th June 2025
toutpourlapatrie.info,African,Tout pour la patrie,76.76.21.21,France,9th June 2025
malagasytribune.com,African,Malagasy Tribune,216.150.1.1,France,21st July 2025
dzinfo.org,African,DZ info,76.76.21.21,France,9th June 2025
marocdemain.com,African,Maroc demain,76.76.21.21,France,9th June 2025
namibdaily.com,African,Namib Daily,216.150.1.1,France,21st July 2025
zion-pulse.com,Middle Eastern,Zion Pulse,76.76.21.21,France,18th June 2025
dunestribune.com,Middle Eastern,The Dunes Tribune,76.76.21.21,France,9th June 2025
alwatanalakbar.com,Middle Eastern,Al Watan Al Akbar,76.76.21.21,France,9th June 2025
gulfinsightqatar.com,Middle Eastern,Insight Qatar,76.76.21.21,France,9th June 2025
kuwaitpost.org,Middle Eastern,Kuwait Post,76.76.21.21,France,9th June 2025
gulfhorizon.info,Middle Eastern,Gulf Horizon,76.76.21.21,France (no longer active),10th June 2025 (no longer active)
lebanon-plus.com,Middle Eastern,Lebanon Plus,76.76.21.21,France,20th June 2025
muscattimes.com,Middle Eastern,The Muscat Times,76.76.21.21,France,9th June 2025
umaldonia.info,Middle Eastern,Um al donia,76.76.21.21,France,9th June 2025
turulnews.org,European,Turul News,76.76.21.21,France,9th June 2025
echoberlin.info,European,Echo Berlin,76.76.21.21,France,6th May 2025
esp-ahora.com,European,España Ahora,76.76.21.21,France,9th June 2025
elforoliberal.com,European,El foro liberal,76.76.21.21,France,12th June 2025
horizonspublics.org,European,Horizons Publics,76.76.21.21,France,9th June 2025
tribunealpine.com,European,Tribune Alpine,76.76.21.21,France,18th June 2025
detoffentliga.org,European,Det Offentliga,76.76.21.21,France,9th June 2025
voz-livre.com,European,Voz livre,76.76.21.21,France,9th June 2025
quebectribune.news,European,Quebec Tribune,76.76.21.21,France,10th June 2025
openstad.com,European,Open Stad,76.76.21.21,France,9th June 2025
dnieprlibre.com,European,Dniepr libre,76.76.21.21,France,19th June 2025
kurierpolski.org,European,Kurier Polski,76.76.21.21,France,9th June 2025
alpenzeit.info,European,Alpen Zeit/Alpenzeit,76.76.21.21,France,20th June 2025
acropolischronicle.com,European,Acropolis Chronicle,76.76.21.21,France,9th June 2025
theliberalcurrent.com,European,The Liberal Current,76.76.21.21,France,9th June 2025
russianway.info,European,Russian Way,76.76.21.21,France,9th June 2025
radicalquill.uk,European,Radical Quill,216.150.1.1,Not observed,14th July 2025
british-daily.com,European,The British Daily,76.76.21.21,France,1st July 2025 
pakssarzameen.org,Asian,Pak Sarzameen,76.76.21.21,France,9th June 2025 
voiceoftherejuvenation.com,Asian,Voice of the rejuvenation,76.76.21.21,France,9th June 2025
kuninohikari.com,Asian,Kuni no Hikari,76.76.21.21,France,9th June 2025
hanbando-uimirae.com,Asian,Hanbando ui mirae,76.76.21.21,France,9th June 2025
ashokavoice.com,Asian,Ashoka Voice,76.76.21.21,France,9th June 2025
nurnusantara.com,Asian,Nur Nusantara,76.76.21.21,France,9th June 2025 
southeastasiainsight.com,Asian,Southeast Asia Insight,76.76.21.21,France,9th June 2025
turan-yolu.com,Asian,Turan Yolu,76.76.21.21,France,12th June 2025
hoifongsibou.com,Asian,Hoi fong si bou,76.76.21.21,France,9th June 2025
muktirbarta.org,Asian,Muktir barta,76.76.21.21,France,19th June 2025
lavozdepachamama.com,Latin American,La Voz de Pachamama,216.150.1.1,France,25th July 2025
tierrabolivariana.com,Latin American,Tierra Bolivariana,216.150.1.1,France,25th July 2025
chileprimera.com,Latin American,Chile Primera,76.76.21.21,France,10th June 2025
eldiariodujarras.com,Latin American,Diario d'Ujarras,76.76.21.21,France,12th June 2025
el-nuevo-camino.com,Latin American,El nuevo camino,76.76.21.21,France,12th June 2025
hoyenasuncion.com,Latin American,Hoy en Asunción,216.150.1.1,France,25th July 2025
vozesdobrasil.com,Latin American,Vozes do Brasil,76.76.21.21,France,10th June 2025
noticiasdelcanal.info,Latin American,Noticias del canal,76.76.21.21,France,1st July 2025
mitad-del-mundo.com,Latin American,Mitad Del Mundo,216.150.1.1,France,25th July 2025
elpulsopopular.com,Latin American,El Pulso Popular,76.76.21.21,France,10th June 2025
commonwealth-post.com,Oceania,Commonwealth Post,76.76.21.21,France,18th June 2025
civicpulse.info,North American/Other,Civic Pulse,76.76.21.21,France,10th June 2025
guyanaherald.com,North American/Other,Guyana Herald,216.150.1.1,France,25th July 2025
fiftystates.news,North American/Other,Fifty States,76.76.21.21,France,1st July 2025
